[SETTINGS]
start	1
#id		path		type		isCameraMove
[SCENES]
0	Resources\Scene\worldscene.txt		
1	Resources\Scene\World1-1\scene1.txt	
2	Resources\Scene\World1-1\scene1_Extra.txt		
5	Resources\Scene\introscene.txt	
[TEXTURES]
# id	file_path	
0	Resources\Textures\mario.png	
1	Resources\Textures\mar.png	
10	Resources\Textures\enemies.png	
20	Resources\Textures\misc.png	
21	Resources\Textures\misc2.png	
30	Resources\Tilemap\world1-1_bank.png
40	Resources\Textures\enemies1.1.png	
50	Resources\Textures\enemies-2.png	
60	Resources\Textures\HUD.png	
80	Resources\Textures\fonts.png	
90	Resources\Textures\card.png	
100	Resources\Textures\mario-left.png	
110	Resources\Textures\mario-right.png
-100	Resources\Textures\bbox.png
#extra_map
31	Resources\Tilemap\world1-1-1_bank.png
